15	a	21889251	477421	0.05	2783458	2827106	2519099	2716641	2749208	3104298	2959649	2229222	22401.41	21981.44	19669.01	21537.47	23234.95	24619.48	24310.83	18609.35
15	he	6469768	331701	0.30	519982	638937	913045	975180	1671986	652040	871382	227210	4184.84	4967.89	7129.01	7731.21	14130.80	5171.18	7157.61	1896.73
25	but	4603799	414960	0.36	659768	598168	590466	729227	658063	547797	524492	295774	5309.85	4650.90	4610.33	5781.30	5561.62	4344.45	4308.23	2469.09
35	my	3107804	258460	0.15	457496	367843	871337	297289	630635	257861	146382	78961	3681.95	2860.07	6803.36	2356.90	5329.82	2045.04	1202.40	659.16
45	if	2710989	359865	0.33	465487	429572	428171	386974	327640	289616	226059	157468	3746.26	3340.03	3343.14	3067.92	2769.05	2296.88	1856.87	1314.53
55	just	2352138	327756	0.12	321248	258377	674758	431434	256890	189880	166394	53140	2585.42	2008.94	5268.48	3420.40	2171.11	1505.90	1366.78	443.61
65	people	1784509	291630	0.08	318161	268090	158089	426648	114096	184571	206897	107953	2560.58	2084.47	1234.35	3382.46	964.28	1463.79	1699.47	901.18
75	think	1493360	238527	0.03	213016	153798	345470	458285	126524	79684	87313	29264	1714.36	1195.82	2697.41	3633.27	1069.32	631.96	717.20	244.29
85	because	1346956	289948	0.14	218298	187292	152244	286689	103038	135496	136854	126999	1756.87	1456.24	1188.71	2272.86	870.83	1074.59	1124.13	1060.18
95	two	1141705	297927	0.10	114091	129782	134062	144406	145923	157102	179360	136978	918.21	1009.09	1046.75	1144.85	1233.27	1245.94	1473.28	1143.48
105	very	1038312	245727	0.05	148236	133110	137360	307630	81140	87647	77004	66174	1193.01	1034.96	1072.50	2438.88	685.76	695.11	632.52	552.41
115	should	921238	236528	0.05	154030	147730	156138	118361	74684	88447	78365	103482	1239.64	1148.64	1219.12	938.36	631.19	701.45	643.70	863.86
125	work	813563	233539	0.03	123067	117431	106235	86492	70335	109362	92434	108191	990.45	913.05	829.48	685.71	594.44	867.33	759.26	903.17
135	day	745652	225702	0.12	94506	93622	105668	109459	118967	95129	93673	34623	760.59	727.93	825.05	867.79	1005.45	754.45	769.44	289.03
145	oh	687523	91542	0.93	23097	21728	476824	96064	50912	9314	6655	2917	185.89	168.94	3723.02	761.59	430.28	73.87	54.66	24.35
155	use	578271	190481	0.05	92612	105030	43479	44563	26403	88058	51715	126410	745.35	816.63	339.48	353.29	223.15	698.37	424.79	1055.26
165	lot	535976	178818	0.01	79624	57402	77430	165288	38487	47547	61055	9139	640.82	446.31	604.57	1310.40	325.27	377.08	501.51	76.29
175	mr	514094	76543	0.99	21892	33632	101592	135290	46893	12165	123419	7934	176.19	261.50	793.23	1072.58	396.32	96.48	1013.78	66.23
185	part	485751	204511	0.06	71626	73689	37014	74493	37162	61805	62669	67286	576.45	572.95	289.00	590.58	314.07	490.16	514.77	561.70
195	without	444532	188082	0.08	69849	72249	43348	34983	61202	60064	48630	54206	562.15	561.75	338.46	277.34	517.25	476.35	399.45	452.51
205	okay	427310	48161	0.60	10058	8128	339135	32993	30154	5238	872	710	80.95	63.20	2647.95	261.57	254.85	41.54	7.16	5.93
215	end	413640	180707	0.07	60374	63361	37259	63122	48816	51947	51325	37432	485.89	492.65	290.92	500.43	412.57	411.98	421.59	312.48
225	enough	396605	168691	0.03	60354	51106	60509	41350	70702	52673	40818	19092	485.73	397.36	472.45	327.82	597.54	417.74	335.28	159.38
235	once	374966	173573	0.22	48874	49698	41766	37279	70107	55918	41852	29467	393.34	386.41	326.11	295.55	592.51	443.47	343.78	245.99
245	done	356752	152291	0.02	52690	46515	66852	66634	42263	30542	32937	18317	424.05	361.67	521.98	528.27	357.19	242.22	270.55	152.91
255	number	341916	142525	0.05	41877	52114	28312	50232	18827	41836	38098	70619	337.03	405.20	221.06	398.24	159.12	331.79	312.94	589.52
265	trying	329076	142605	0.03	46845	38688	62100	66412	44114	27421	34069	9420	377.01	300.81	484.87	526.51	372.83	217.47	279.85	78.64
275	room	323298	110352	0.07	21627	27382	50172	26168	110844	39346	36084	11665	174.06	212.90	391.74	207.46	936.80	312.04	296.40	97.38
285	having	318644	151384	0.09	55817	50301	38410	47976	31911	34717	29590	29922	449.22	391.10	299.90	380.35	269.70	275.33	243.06	249.79
295	black	310554	94023	0.28	29513	29130	23848	30422	58525	59831	42636	36214	237.52	226.49	186.20	241.18	494.62	474.51	350.22	302.31
305	united	300092	94532	0.97	24505	44509	6318	65396	4504	33063	49056	72593	197.22	346.07	49.33	518.46	38.07	262.22	402.95	606.00
315	social	290452	79260	0.18	41244	40994	4833	17513	6005	30420	24994	124448	331.93	318.74	37.74	138.84	50.75	241.25	205.30	1038.88
325	read	282747	112610	0.09	63980	62991	27295	27679	33250	25578	18661	23308	514.91	489.77	213.12	219.44	281.01	202.85	153.28	194.57
335	saying	274341	114504	0.02	38355	32323	42923	86223	26460	16984	24662	6411	308.68	251.32	335.14	683.57	223.63	134.70	202.58	53.52
345	among	267844	123994	0.13	23056	33649	4097	19288	17270	43563	47868	79052	185.56	261.63	31.99	152.91	145.96	345.49	393.19	659.92
355	study	261496	72760	0.06	19390	27594	5819	11085	8242	37228	18327	133811	156.05	214.55	45.43	87.88	69.66	295.25	150.54	1117.04
365	history	253704	108097	0.12	32977	38420	13047	26587	12187	36771	36421	57291	265.40	298.72	101.87	210.78	103.00	291.62	299.17	478.26
375	kids	244758	79264	0.07	34704	25955	41617	46380	21827	37471	32454	4349	279.30	201.81	324.94	367.70	184.47	297.17	266.58	36.31
385	sorry	237629	61143	0.28	16223	12337	155536	17318	29107	3543	2970	579	130.56	95.92	1214.42	137.30	246.00	28.10	24.40	4.83
395	true	233940	112473	0.08	40727	41078	32831	34935	23640	24100	16145	20482	327.77	319.39	256.34	276.96	199.79	191.13	132.62	170.98
405	heard	230159	102787	0.02	22128	22191	46983	44369	56221	15898	15865	6502	178.09	172.54	366.84	351.76	475.15	126.08	130.32	54.28
415	pay	223592	96534	0.04	41084	37423	27171	29186	15267	25461	36880	11117	330.65	290.97	212.15	231.39	129.03	201.93	302.94	92.80
425	lost	219171	112201	0.06	27575	26736	35547	27055	30389	25229	33744	12891	221.93	207.88	277.55	214.49	256.83	200.09	277.18	107.61
435	seems	214690	110008	0.04	45270	35777	20608	29238	16378	24940	20301	22178	364.34	278.17	160.91	231.80	138.42	197.79	166.75	185.14
445	door	210291	70846	0.02	10815	14232	32979	13989	104554	15528	14083	4105	87.04	110.66	257.50	110.90	883.64	123.15	115.68	34.27
455	thanks	204900	84797	0.62	31498	21686	74654	44349	12647	10554	6298	3209	253.50	168.61	582.89	351.60	106.89	83.70	51.73	26.79
465	girl	198734	62905	0.10	15402	18211	65654	17932	52469	13212	11397	4450	123.96	141.60	512.62	142.16	443.44	104.78	93.62	37.15
475	clear	195945	108233	0.05	26697	27181	22046	27637	21452	24377	20970	25584	214.86	211.34	172.13	219.11	181.30	193.33	172.25	213.57
485	season	191277	64486	0.06	31944	25663	5230	10443	4838	34061	73427	5670	257.09	199.54	40.84	82.79	40.89	270.13	603.14	47.33
495	security	188741	63118	0.30	22744	28328	14215	40521	9294	20096	29725	23816	183.04	220.26	110.99	321.25	78.55	159.38	244.16	198.81
505	federal	185072	60922	0.25	23271	29864	4224	29066	1995	23265	46603	26784	187.29	232.20	32.98	230.43	16.86	184.51	382.80	223.59
515	military	180732	48486	0.06	19815	24084	5731	37655	5171	21016	29823	37437	159.47	187.26	44.75	298.53	43.70	166.67	244.97	312.52
525	south	175902	73265	0.74	14732	18592	8359	24233	11833	28349	43691	26113	118.56	144.56	65.27	192.12	100.01	224.83	358.88	217.99
535	couple	170729	92139	0.02	23556	18314	28643	33437	23359	20122	19094	4155	189.58	142.40	223.64	265.09	197.42	159.58	156.84	34.69
545	watch	167009	85347	0.19	20817	18292	38956	23706	27137	18565	15957	3576	167.54	142.22	304.17	187.94	229.35	147.23	131.07	29.85
555	tried	163851	88657	0.01	17965	17848	24646	21876	40716	16162	17435	7183	144.58	138.77	192.43	173.43	344.11	128.18	143.21	59.96
565	field	161428	73583	0.12	19333	22286	10086	10376	14460	23392	31047	30404	155.59	173.28	78.75	82.26	122.21	185.52	255.02	253.81
575	became	158671	87537	0.01	14720	20488	7411	16830	18601	28698	27119	24804	118.47	159.30	57.86	133.43	157.21	227.60	222.76	207.06
585	meet	156088	84940	0.07	14239	16274	41544	18724	17401	14917	17477	15512	114.60	126.53	324.37	148.44	147.06	118.30	143.56	129.49
595	rights	153285	51348	0.14	23945	29328	4662	19970	2989	15237	23279	33875	192.71	228.03	36.40	158.32	25.26	120.84	191.22	282.79
605	recent	151685	94985	0.06	19934	20893	2227	11384	4463	26789	35865	30130	160.43	162.45	17.39	90.25	37.72	212.46	294.60	251.52
615	month	149669	89649	0.03	20540	19518	11026	19516	11106	23643	37537	6782	165.31	151.76	86.09	154.72	93.86	187.51	308.33	56.62
625	held	146539	82984	0.01	13660	17690	5497	13427	37132	16861	23187	19084	109.94	137.54	42.92	106.45	313.82	133.72	190.46	159.31
635	cost	144218	67591	0.05	26153	22452	5975	14434	5102	24385	26547	19168	210.48	174.57	46.65	114.43	43.12	193.39	218.06	160.01
